,Ticker,Name,2018,2019,2020,2021,2022
0,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,29103600000.0,30889100000.0,37804000000.0,52040800000.0,
1,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,-835399999.9999996,2260250000.0,7798000000.0,9779000000.0,
2,ASIANPAINT,Asian Paints Ltd.,7046600000.000001,10634800000.0,22182000000.0,33946400000.0,4357900000.0
3,AXISBANK,Axis Bank Ltd.,,362448822000.0,293113662000.0,116944446000.0,267283300000.0
4,BAJAJ-AUTO,Bajaj Auto Ltd.,41581400000.0,23025500000.0,35537000000.0,28602900000.0,36464600000.0
5,BAJFINANCE,Bajaj Finance Ltd.,-207724400000.0,-295449200000.0,-249333200000.0,-11904400000.0,-376627900000.0
6,BAJAJFINSV,Bajaj Finserv Ltd.,,-271022200000.0,-242483500000.0,40765500000.0,-345797900000.0
7,BPCL,Bharat Petroleum Corporation Ltd.,33324300000.00001,-3841500000.0,-43159500000.0,143478900000.0,
8,BHARTIARTL,Bharti Airtel Ltd.,46054000000.000015,-96895000000.0,-25881000000.0,209474000000.0,101685000000.0
9,BRITANNIA,Britannia Industries Ltd.,8275999999.999998,7545700000.0,12403600000.0,16090000000.0,7493400000.0
10,CIPLA,Cipla Ltd.,7233000000.0,11640000000.0,20684400000.0,29362800000.0,26247500000.0
11,COALINDIA,Coal India Ltd.,125856200000.00002,93561400000.0,-14979900000.0,-4553500000.0,
12,DIVISLAB,Divi's Laboratories Ltd.,5021100000.0,2212300000.0,327300000.0,10367400000.0,
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,7126000000.000001,21213000000.0,23726000000.0,23142000000.0,9059000000.0
14,EICHERMOT,Eicher Motors Ltd.,17362900000.0,7839600000.0,11482300000.0,11587500000.0,8862100000.0
15,GRASIM,Grasim Industries Ltd.,-71856400000.0,-65382600000.0,115354900000.0,110498400000.0,
16,HCLTECH,HCL Technologies Ltd.,30070000000,792808909.294511,1523866348.448687,2411846558.959124,2044000000.0
17,HDFCBANK,HDFC Bank Ltd.,,166917200000.0,152885400000.0,903969700000.0,
18,HDFCLIFE,HDFC Life Insurance Company Ltd.,67064699999.99999,98231671000.0,73397521000.0,96416260000.0,58859000000.0
19,HEROMOTOCO,Hero MotoCorp Ltd.,31957100000.0,527100000.0,42303300000.0,35294300000.0,15340400000.0
20,HINDALCO,Hindalco Industries Ltd.,79419900000.0,59741800000.0,58740000000.0,116670000000.0,
21,HINDUNILVR,Hindustan Unilever Ltd.,51810000000,50330000000.0,67610000000.0,50000000000.0,78200000000.0
22,HDFC,Housing Development Finance Corporation Ltd.,-581373600000.0,-445132000000.0,-272411500000.0,-274351100000.0,-461616600000.0
23,ICICIBANK,ICICI Bank Ltd.,,475229039000.0,776912944000.0,1363270910000.0,562514600000.0
24,ITC,ITC Ltd.,103709200000.0,94142900000.0,122485100000.0,106904500000.0,136338700000.0
25,INDUSINDBK,IndusInd Bank Ltd.,,-70324131000.0,-133278220000.0,446345168000.0,162578800000.0
26,INFY,Infosys Ltd.,112200000000,1913000000.0,2146000000.0,2973000000.0,3055000000.0
27,JSWSTEEL,JSW Steel Ltd.,77030000000,44270000000.0,-250000000.0,95310000000.0,
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,,12974201000.0,461662071000.0,45125410000.0,77482200000.0
29,LT,Larsen & Toubro Ltd.,-120460600000.0,-89994600000.0,32570600000.0,210364400000.0,160529500000.0
30,M&M,Mahindra & Mahindra Ltd.,-51092000000.0,-116873000000.0,-83469500000.0,119193400000.0,
31,MARUTI,Maruti Suzuki India Ltd.,79027000000.0,17285000000.0,588000000.0,64859000000.0,-16188000000.0
32,NTPC,NTPC Ltd.,9122700000.000004,-34587200000.0,63527800000.0,91317200000.0,173438100000.0
33,NESTLEIND,Nestle India Ltd.,18864700000.0,20791500000.0,19761200000.0,15365500000.0,
34,ONGC,Oil & Natural Gas Corporation Ltd.,290604900000.0,187558290000.0,166494520000.0,42008640000.0,
35,POWERGRID,Power Grid Corporation of India Ltd.,-34697400000.000015,9300100000.0,196733600000.0,199486000000.0,
36,RELIANCE,Reliance Industries Ltd.,-14950000000,-478900000000.0,215570000000.0,-796520000000.0,105090000000.0
37,SBILIFE,SBI Life Insurance Company Ltd.,,133304741000.0,192175954000.0,237731236000.0,217961500000.0
38,SHREECEM,Shree Cement Ltd.,-6475300000.0,1436000000.0,24284100000.0,31192100000.0,
39,SBIN,State Bank of India,,265504948000.0,208635204000.0,860909039000.0,543895900000.0
40,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,20128600000.0,-10163700000.0,50127700000.0,50002400000.0,
41,TCS,Tata Consultancy Services Ltd.,232630000000,263620000000.0,291200000000.0,356260000000.0,369540000000.0
42,TATACONSUM,Tata Consumer Products Ltd.,,-724100000.0,9226500000.0,14456900000.0,12424700000.0
43,TATAMOTORS,Tata Motors Ltd.,-111911999999.99995,-164127700000.0,-30690900000.0,87951100000.0,
44,TATASTEEL,Tata Steel Ltd.,7239400000.000005,162449500000.0,97707200000.0,373480900000.0,338587900000.0
45,TECHM,Tech Mahindra Ltd.,27633000000.0,36274000000.0,35135000000.0,74278000000.0,43269000000.0
46,TITAN,Titan Company Ltd.,-3503900000.0000005,9782000000.0,-7024300000.0,39930000000.0,-9480000000.0
47,UPL,UPL Ltd.,14350000000,7810000000.0,67590000000.0,50900000000.0,38080000000.0
48,ULTRACEMCO,UltraTech Cement Ltd.,20111200000.0,34992000000.0,71958200000.0,105780800000.0,36698300000.0
49,WIPRO,Wipro Ltd.,63534000000.0,93535000000.0,77146000000.0,127973000000.0,90644000000.0
